AUS	3	1	42702.42588	update dimeconomy set averagesalary=42702.43 where countryid=3 and timeid = 1;
AUS	3	2	42311.07823	update dimeconomy set averagesalary=42311.08 where countryid=3 and timeid = 2;
AUS	3	3	42602.27769	update dimeconomy set averagesalary=42602.28 where countryid=3 and timeid = 3;
AUS	3	4	43100.65622	update dimeconomy set averagesalary=43100.66 where countryid=3 and timeid = 4;
AUS	3	5	44441.81354	update dimeconomy set averagesalary=44441.81 where countryid=3 and timeid = 5;
AUS	3	6	45016.20768	update dimeconomy set averagesalary=45016.21 where countryid=3 and timeid = 6;
AUS	3	7	45307.35152	update dimeconomy set averagesalary=45307.35 where countryid=3 and timeid = 7;
AUS	3	8	46557.61866	update dimeconomy set averagesalary=46557.62 where countryid=3 and timeid = 8;
AUS	3	9	46933.18642	update dimeconomy set averagesalary=46933.19 where countryid=3 and timeid = 9;
AUS	3	10	46507.58833	update dimeconomy set averagesalary=46507.59 where countryid=3 and timeid = 10;
AUS	3	11	48111.54643	update dimeconomy set averagesalary=48111.55 where countryid=3 and timeid = 11;
AUS	3	12	49621.84044	update dimeconomy set averagesalary=49621.84 where countryid=3 and timeid = 12;
AUS	3	13	49900.64807	update dimeconomy set averagesalary=49900.65 where countryid=3 and timeid = 13;
AUS	3	14	49648.77206	update dimeconomy set averagesalary=49648.77 where countryid=3 and timeid = 14;
AUS	3	15	49988.5582	update dimeconomy set averagesalary=49988.56 where countryid=3 and timeid = 15;
AUS	3	16	49562.79619	update dimeconomy set averagesalary=49562.8 where countryid=3 and timeid = 16;
AUS	3	17	49603.26666	update dimeconomy set averagesalary=49603.27 where countryid=3 and timeid = 17;
AUS	3	18	49125.86723	update dimeconomy set averagesalary=49125.87 where countryid=3 and timeid = 18;
CAN	2	1	38466.65663	update dimeconomy set averagesalary=38466.66 where countryid=2 and timeid = 1;
CAN	2	2	38308.57536	update dimeconomy set averagesalary=38308.58 where countryid=2 and timeid = 2;
CAN	2	3	37896.05965	update dimeconomy set averagesalary=37896.06 where countryid=2 and timeid = 3;
CAN	2	4	37901.6682	update dimeconomy set averagesalary=37901.67 where countryid=2 and timeid = 4;
CAN	2	5	38919.50833	update dimeconomy set averagesalary=38919.51 where countryid=2 and timeid = 5;
CAN	2	6	40585.38103	update dimeconomy set averagesalary=40585.38 where countryid=2 and timeid = 6;
CAN	2	7	41870.58513	update dimeconomy set averagesalary=41870.59 where countryid=2 and timeid = 7;
CAN	2	8	42882.11528	update dimeconomy set averagesalary=42882.12 where countryid=2 and timeid = 8;
CAN	2	9	43692.47583	update dimeconomy set averagesalary=43692.48 where countryid=2 and timeid = 9;
CAN	2	10	44161.55264	update dimeconomy set averagesalary=44161.55 where countryid=2 and timeid = 10;
CAN	2	11	44335.69865	update dimeconomy set averagesalary=44335.7 where countryid=2 and timeid = 11;
CAN	2	12	45015.63495	update dimeconomy set averagesalary=45015.63 where countryid=2 and timeid = 12;
CAN	2	13	46059.32285	update dimeconomy set averagesalary=46059.32 where countryid=2 and timeid = 13;
CAN	2	14	46937.31679	update dimeconomy set averagesalary=46937.32 where countryid=2 and timeid = 14;
CAN	2	15	47453.00461	update dimeconomy set averagesalary=47453 where countryid=2 and timeid = 15;
CAN	2	16	47673.32543	update dimeconomy set averagesalary=47673.33 where countryid=2 and timeid = 16;
CAN	2	17	47370.19552	update dimeconomy set averagesalary=47370.2 where countryid=2 and timeid = 17;
CAN	2	18	47621.84365	update dimeconomy set averagesalary=47621.84 where countryid=2 and timeid = 18;
USA	5	1	52801.18193	update dimeconomy set averagesalary=52801.18 where countryid=5 and timeid = 1;
USA	5	2	53243.98371	update dimeconomy set averagesalary=53243.98 where countryid=5 and timeid = 2;
USA	5	3	53652.41554	update dimeconomy set averagesalary=53652.42 where countryid=5 and timeid = 3;
USA	5	4	54279.63476	update dimeconomy set averagesalary=54279.63 where countryid=5 and timeid = 4;
USA	5	5	55334.66404	update dimeconomy set averagesalary=55334.66 where countryid=5 and timeid = 5;
USA	5	6	55391.04222	update dimeconomy set averagesalary=55391.04 where countryid=5 and timeid = 6;
USA	5	7	56297.94577	update dimeconomy set averagesalary=56297.95 where countryid=5 and timeid = 7;
USA	5	8	57419.62664	update dimeconomy set averagesalary=57419.63 where countryid=5 and timeid = 8;
USA	5	9	57192.32023	update dimeconomy set averagesalary=57192.32 where countryid=5 and timeid = 9;
USA	5	10	57687.31542	update dimeconomy set averagesalary=57687.32 where countryid=5 and timeid = 10;
USA	5	11	58054.38117	update dimeconomy set averagesalary=58054.38 where countryid=5 and timeid = 11;
USA	5	12	58200.14134	update dimeconomy set averagesalary=58200.14 where countryid=5 and timeid = 12;
USA	5	13	58669.21301	update dimeconomy set averagesalary=58669.21 where countryid=5 and timeid = 13;
USA	5	14	58411.63243	update dimeconomy set averagesalary=58411.63 where countryid=5 and timeid = 14;
USA	5	15	59249.92295	update dimeconomy set averagesalary=59249.92 where countryid=5 and timeid = 15;
USA	5	16	60691.66171	update dimeconomy set averagesalary=60691.66 where countryid=5 and timeid = 16;
USA	5	17	60685.80791	update dimeconomy set averagesalary=60685.81 where countryid=5 and timeid = 17;
USA	5	18	60558.35812	update dimeconomy set averagesalary=60558.36 where countryid=5 and timeid = 18;
NZL	4	1	30589.65109	update dimeconomy set averagesalary=30589.65 where countryid=4 and timeid = 1;
NZL	4	2	31152.72361	update dimeconomy set averagesalary=31152.72 where countryid=4 and timeid = 2;
NZL	4	3	31742.85329	update dimeconomy set averagesalary=31742.85 where countryid=4 and timeid = 3;
NZL	4	4	32902.34783	update dimeconomy set averagesalary=32902.35 where countryid=4 and timeid = 4;
NZL	4	5	34064.97555	update dimeconomy set averagesalary=34064.98 where countryid=4 and timeid = 5;
NZL	4	6	34644.65864	update dimeconomy set averagesalary=34644.66 where countryid=4 and timeid = 6;
NZL	4	7	34866.80671	update dimeconomy set averagesalary=34866.81 where countryid=4 and timeid = 7;
NZL	4	8	36919.68662	update dimeconomy set averagesalary=36919.69 where countryid=4 and timeid = 8;
NZL	4	9	36512.73136	update dimeconomy set averagesalary=36512.73 where countryid=4 and timeid = 9;
NZL	4	10	36963.31614	update dimeconomy set averagesalary=36963.32 where countryid=4 and timeid = 10;
NZL	4	11	37318.60482	update dimeconomy set averagesalary=37318.6 where countryid=4 and timeid = 11;
NZL	4	12	37319.35019	update dimeconomy set averagesalary=37319.35 where countryid=4 and timeid = 12;
NZL	4	13	38106.16456	update dimeconomy set averagesalary=38106.16 where countryid=4 and timeid = 13;
NZL	4	14	37614.32916	update dimeconomy set averagesalary=37614.33 where countryid=4 and timeid = 14;
NZL	4	15	37909.83175	update dimeconomy set averagesalary=37909.83 where countryid=4 and timeid = 15;
NZL	4	16	38472.93895	update dimeconomy set averagesalary=38472.94 where countryid=4 and timeid = 16;
NZL	4	17	39674.47302	update dimeconomy set averagesalary=39674.47 where countryid=4 and timeid = 17;
NZL	4	18	40042.6296	update dimeconomy set averagesalary=40042.63 where countryid=4 and timeid = 18;
